transaction_id,invoice_id,customer_id,customer_name,email,phone,transaction_date,amount,currency,payment_status,store_id,customer_name_clean,email_clean,phone_clean
TX0000001,INV0000001,CUST009416,Aditya Gupta,aditya.gupta734@gmail.com,9593185004,2026-08-15,47970.28,INR,PENDING,STORE109,ADITYA GUPTA,aditya.gupta734@gmail.com,9593185004
TX0000002,INV0000002,CUST003473,Nikhil Rao,nikhil.rao642@gmail.com,9757594115,2026-08-20,95008.86,INR,PAID,STORE221,NIKHIL RAO,nikhil.rao642@gmail.com,9757594115
TX0000003,INV0000003,CUST004133,Meera Iyer,meera.iyer750@yahoo.com,9089063237,2026-08-13,9070.44,INR,PAID,STORE083,MEERA IYER,meera.iyer750@yahoo.com,9089063237
TX0000004,INV0000004,CUST001910,Ananya Singh,ananya.singh615@gmail.com,9841835665,2026-08-10,92778.8,INR,PAID,STORE229,ANANYA SINGH,ananya.singh615@gmail.com,9841835665
TX0000005,INV0000005,CUST007433,Vikram Kumar,vikram.kumar147@outlook.com,9916721810,2026-08-15,20380.22,INR,PAID,STORE135,VIKRAM KUMAR,vikram.kumar147@outlook.com,9916721810
TX0000006,INV0000006,CUST000359,Meera Iyer,meera.iyer134@hotmail.com,9685986249,2026-08-10,50865.4,INR,PAID,STORE047,MEERA IYER,meera.iyer134@hotmail.com,9685986249
TX0000007,INV0000007,CUST008308,Vikram Nair,vikram.nair261@hotmail.com,9716513724,2026-08-31,41233.76,INR,PAID,STORE201,VIKRAM NAIR,vikram.nair261@hotmail.com,9716513724
TX0000008,INV0000008,CUST009103,Priya Singh,priya.singh89@hotmail.com,9148985686,2026-08-25,79613.35,INR,PAID,STORE219,PRIYA SINGH,priya.singh89@hotmail.com,9148985686
TX0000009,INV0000009,CUST003466,Pooja Kapoor,pooja.kapoor753@outlook.com,9422954991,2026-08-15,58439.5,INR,PAID,STORE081,POOJA KAPOOR,pooja.kapoor753@outlook.com,9422954991
TX0000010,INV0000010,CUST008003,Ananya Singh,ananya.singh440@hotmail.com,9041898171,2026-08-31,84423.98,INR,PAID,STORE143,ANANYA SINGH,ananya.singh440@hotmail.com,9041898171
TX0000011,INV0000011,CUST002837,Nikhil Das,nikhil.das4@yahoo.com,9045382041,2026-08-14,63503.09,INR,PAID,STORE070,NIKHIL DAS,nikhil.das4@yahoo.com,9045382041
TX0000012,INV0000012,CUST002986,Nikhil Singh,nikhil.singh554@yahoo.com,9735211229,2026-08-21,38090.0,INR,PENDING,STORE080,NIKHIL SINGH,nikhil.singh554@yahoo.com,9735211229
TX0000013,INV0000013,CUST002083,Rohan Joshi,rohan.joshi503@gmail.com,9559522062,2026-08-15,34621.38,INR,PENDING,STORE233,ROHAN JOSHI,rohan.joshi503@gmail.com,9559522062
TX0000014,INV0000014,CUST004942,Kavya Nair,kavya.nair851@gmail.com,9280450621,2026-08-08,99573.68,INR,PENDING,STORE096,KAVYA NAIR,kavya.nair851@gmail.com,9280450621
TX0000015,INV0000015,CUST008405,Priya Reddy,priya.reddy340@yahoo.com,9694113994,2026-08-14,76274.22,INR,PAID,STORE176,PRIYA REDDY,priya.reddy340@yahoo.com,9694113994
TX0000016,INV0000016,CUST001043,Karan Rao,karan.rao700@hotmail.com,9613069121,2026-08-26,59880.64,INR,PAID,STORE080,KARAN RAO,karan.rao700@hotmail.com,9613069121
TX0000017,INV0000017,CUST002294,Pooja Mishra,pooja.mishra792@hotmail.com,9328250375,2026-08-27,82858.74,INR,PENDING,STORE192,POOJA MISHRA,pooja.mishra792@hotmail.com,9328250375
TX0000018,INV0000018,CUST006089,Nikhil Verma,nikhil.verma630@outlook.com,9489939178,2026-08-17,46071.1,INR,PAID,STORE234,NIKHIL VERMA,nikhil.verma630@outlook.com,9489939178
TX0000019,INV0000019,CUST004939,Amit Reddy,amit.reddy521@gmail.com,9051648630,2026-08-08,71020.67,INR,PENDING,STORE128,AMIT REDDY,amit.reddy521@gmail.com,9051648630
TX0000020,INV0000020,CUST001230,Ananya Kapoor,ananya.kapoor399@outlook.com,9563563082,2026-08-10,108459.91,INR,PAID,STORE054,ANANYA KAPOOR,ananya.kapoor399@outlook.com,9563563082
TX0000021,INV0000021,CUST001377,Rohan Gupta,rohan.gupta408@gmail.com,9995413658,2026-08-22,62791.25,INR,PENDING,STORE215,ROHAN GUPTA,rohan.gupta408@gmail.com,9995413658
TX0000022,INV0000022,CUST005159,Pooja Joshi,pooja.joshi346@hotmail.com,9282214618,2026-08-21,32072.81,INR,PAID,STORE221,POOJA JOSHI,pooja.joshi346@hotmail.com,9282214618
TX0000023,INV0000023,CUST004877,Amit Kumar,amit.kumar740@outlook.com,9513366015,2026-08-30,52745.44,INR,PAID,STORE248,AMIT KUMAR,amit.kumar740@outlook.com,9513366015
